name,description,serving_size,calories,protein,carbs,fats,sugar,date,protein_per_calorie,calories_per_protein
Herb Roasted Mushrooms,N/A,1/2 cup,70,4,4,5,0,2025-11-19,0.05714285714285714,17.5
"Peanut Butter, .75 oz, Jif",N/A,1 each,120,4,5,10,2,2025-11-19,0.03333333333333333,30.0
Chocolate Cake with Chocolate Frosting,N/A,1 slice,330,4,54,11,37,2025-11-19,0.012121212121212121,82.5
Chow Mein Noodles,N/A,1 cup,220,5,30,8,0,2025-11-19,0.022727272727272728,44.0
Jalapeno Poppers,N/A,3 each,330,5,29,23,3,2025-11-19,0.015151515151515152,66.0
White Bread,N/A,2 slice,150,5,29,0,2,2025-11-19,0.03333333333333333,30.0
Sliced American Swiss Cheese,N/A,1 slice,100,5,1,9,0,2025-11-19,0.05,20.0
Italian Meatballs,N/A,1 ounce,70,5,2,0,0,2025-11-19,0.07142857142857142,14.0
Diced Ham,N/A,1/4 cup,45,5,2,0,0,2025-11-19,0.1111111111111111,9.0
Cubed Tofu,N/A,1/4 cup,50,5,1,3,0,2025-11-19,0.1,10.0
Hard Boiled Egg,N/A,1 each,70,6,0,0,0,2025-11-19,0.08571428571428572,11.666666666666666
African Chickpea Stew,N/A,8 floz,250,7,36,9,0,2025-11-19,0.028,35.714285714285715
Stir Fry Marinated Tofu,N/A,3 ounce,70,7,2,5,0,2025-11-19,0.1,10.0
"Chickpeas, Spinach, Roasted Tomatoes",N/A,1/2 cup,160,8,24,4,5,2025-11-19,0.05,20.0
"12"" Flour Tortilla",N/A,1 each,290,8,48,8,1,2025-11-19,0.027586206896551724,36.25
Multigrain Bread,N/A,2 slice,280,8,52,4,8,2025-11-19,0.02857142857142857,35.0
Whole Wheat Bread,N/A,2 slice,140,8,26,1,0,2025-11-19,0.05714285714285714,17.5
Herb Marinated Black Beans,N/A,1/2 cup,130,8,22,2,0,2025-11-19,0.06153846153846154,16.25
Cheese Pizza,N/A,1 slice,200,8,29,5,2,2025-11-19,0.04,25.0
Lemon Orzo,N/A,1/2 cup,230,8,44,3,2,2025-11-19,0.034782608695652174,28.75
Pepperoni Pizza,N/A,1 slice,210,9,29,7,0,2025-11-19,0.04285714285714286,23.333333333333332
Grilled Veggie Pizza,N/A,1 slice,220,10,34,5,3,2025-11-19,0.045454545454545456,22.0
Hot & Spicy Tofu,N/A,3/4 cup,150,11,16,6,8,2025-11-19,0.07333333333333333,13.636363636363637
Thinly Sliced Deli Turkey Breast,N/A,3 ounce,90,11,3,0,0,2025-11-19,0.12222222222222222,8.181818181818182
2% Greek Plain Yogurt,N/A,1/2 cup,90,11,5,0,5,2025-11-19,0.12222222222222222,8.181818181818182
Veggie Power Bowl,N/A,1 each,410,13,55,17,4,2025-11-19,0.03170731707317073,31.53846153846154
Cottage Cheese,N/A,1/2 cup,80,14,3,1,3,2025-11-19,0.175,5.714285714285714
Thinly Sliced Smoked Ham,N/A,3 ounce,110,15,1,0,1,2025-11-19,0.13636363636363635,7.333333333333333
FIT Tuna Salad,N/A,1/2 cup,100,17,2,0,0,2025-11-19,0.17,5.882352941176471
Grilled Chicken Thigh,N/A,3 ounce,170,20,0,9,0,2025-11-19,0.11764705882352941,8.5
Chicken Tender Basket,N/A,1 each,570,24,58,28,3,2025-11-19,0.042105263157894736,23.75
Chicken and Apricot Tagine,N/A,6 ounce,290,25,25,10,0,2025-11-19,0.08620689655172414,11.6
Hoisin Glazed Beef,N/A,4 oz meat,300,25,6,18,5,2025-11-19,0.08333333333333333,12.0
Chicken Salad,N/A,5 oz portion,200,28,3,9,0,2025-11-19,0.14,7.142857142857143
Cajun Chicken Penne,N/A,8 oz portion,660,31,79,25,2,2025-11-19,0.04696969696969697,21.29032258064516
Texas Style BBQ'd Brisket,N/A,4 oz portion,320,32,0,20,0,2025-11-19,0.1,10.0
Buffalo Chicken Stromboli,N/A,1 piece,1050,75,103,37,6,2025-11-19,0.07142857142857142,14.0
